SHOT_ZONE_BASIC,TEAM_NAME,LOC_X,LOC_Y,SHOT_ACCURACY,SHOT_ACCURACY_LAB
Above the Break 3,03_10CLE,-13.247173689619732,209.46968139773895,0.3237410071942446,32.4%
Above the Break 3,14_18CLE,-47.39834710743801,212.8413223140496,0.3528925619834711,35.3%
Above the Break 3,LAL,-26.962099125364432,230.0058309037901,0.35131195335276966,35.1%
Above the Break 3,MIA,-13.286413708690331,206.2998776009792,0.35862913096695226,35.9%
In The Paint (Non-RA),03_10CLE,0.989556135770235,54.150565709312446,0.3846823324630113,38.5%
In The Paint (Non-RA),14_18CLE,-5.709964412811388,57.188612099644125,0.3896797153024911,39%
In The Paint (Non-RA),LAL,0.5010940919037199,67.84245076586433,0.3676148796498906,36.8%
In The Paint (Non-RA),MIA,-6.151917404129794,60.339233038348084,0.45427728613569324,45.4%
Left Corner 3,03_10CLE,-233.38378378378377,20.52972972972973,0.4,40%
Left Corner 3,14_18CLE,-232.9746835443038,19.70886075949367,0.35443037974683544,35.4%
Left Corner 3,LAL,-229.44444444444446,18.055555555555557,0.42592592592592593,42.6%
Left Corner 3,MIA,-232.3943661971831,17.08450704225352,0.4507042253521127,45.1%
Mid-Range,03_10CLE,-2.133213089409946,93.37103839216697,0.3638237567637207,36.4%
Mid-Range,14_18CLE,-33.616013071895424,87.8733660130719,0.3741830065359477,37.4%
Mid-Range,LAL,-19.27015558698727,105.70721357850071,0.39038189533239037,39%
Mid-Range,MIA,-28.434075857916916,102.91631547260687,0.4244431065623119,42.4%
Restricted Area,03_10CLE,-0.21761786600496277,2.5119106699751863,0.6923076923076923,69.2%
Restricted Area,14_18CLE,-1.0872564935064934,6.379058441558442,0.729301948051948,72.9%
Restricted Area,LAL,0.4614955357142857,13.001116071428571,0.7220982142857143,72.2%
Restricted Area,MIA,1.4021632251720748,9.030481809242872,0.7536873156342183,75.4%
Right Corner 3,03_10CLE,231.1290322580645,12.64516129032258,0.3548387096774194,35.5%
Right Corner 3,14_18CLE,231.24675324675326,19.649350649350648,0.3246753246753247,32.5%
Right Corner 3,LAL,230.22033898305085,33.96610169491525,0.3389830508474576,33.9%
Right Corner 3,MIA,233.94736842105263,22.473684210526315,0.4105263157894737,41.1%
