SHOT_ZONE_BASIC,TEAM_NAME,loc_x,loc_y,accuracy,SHOT_ACCURACY_LAB
Above the Break 3,03-10_Cavaliers,-13.247173689619732,209.46968139773895,0.3237410071942446,32.4%
Above the Break 3,14-18_Cavaliers,-47.39834710743801,212.8413223140496,0.3528925619834711,35.3%
Above the Break 3,Los Angeles Lakers,-29.094791666666666,230.59479166666668,0.3458333333333333,34.6%
Above the Break 3,Miami Heat,-13.286413708690331,206.2998776009792,0.35862913096695226,35.9%
Backcourt,03-10_Cavaliers,105,480,0,0%
In The Paint (Non-RA),03-10_Cavaliers,0.989556135770235,54.150565709312446,0.3846823324630113,38.5%
In The Paint (Non-RA),14-18_Cavaliers,-5.709964412811388,57.188612099644125,0.3896797153024911,39%
In The Paint (Non-RA),Los Angeles Lakers,0.836676217765043,69.06017191977077,0.36962750716332377,37%
In The Paint (Non-RA),Miami Heat,-6.151917404129794,60.339233038348084,0.45427728613569324,45.4%
Left Corner 3,03-10_Cavaliers,-233.38378378378377,20.52972972972973,0.4,40%
Left Corner 3,14-18_Cavaliers,-232.9746835443038,19.70886075949367,0.35443037974683544,35.4%
Left Corner 3,Los Angeles Lakers,-230.35897435897436,17.794871794871796,0.4358974358974359,43.6%
Left Corner 3,Miami Heat,-232.3943661971831,17.08450704225352,0.4507042253521127,45.1%
Mid-Range,03-10_Cavaliers,-2.133213089409946,93.37103839216697,0.3638237567637207,36.4%
Mid-Range,14-18_Cavaliers,-33.616013071895424,87.8733660130719,0.3741830065359477,37.4%
Mid-Range,Los Angeles Lakers,-18.661567877629064,108.22179732313576,0.37858508604206503,37.9%
Mid-Range,Miami Heat,-28.434075857916916,102.91631547260687,0.4244431065623119,42.4%
Restricted Area,03-10_Cavaliers,-0.21761786600496277,2.5119106699751863,0.6923076923076923,69.2%
Restricted Area,14-18_Cavaliers,-1.0872564935064934,6.379058441558442,0.729301948051948,72.9%
Restricted Area,Los Angeles Lakers,0.3882532418001526,12.685736079328757,0.7109077040427155,71.1%
Restricted Area,Miami Heat,1.4021632251720748,9.030481809242872,0.7536873156342183,75.4%
Right Corner 3,03-10_Cavaliers,231.1290322580645,12.64516129032258,0.3548387096774194,35.5%
Right Corner 3,14-18_Cavaliers,231.24675324675326,19.649350649350648,0.3246753246753247,32.5%
Right Corner 3,Los Angeles Lakers,230.52631578947367,36.6578947368421,0.39473684210526316,39.5%
Right Corner 3,Miami Heat,233.94736842105263,22.473684210526315,0.4105263157894737,41.1%
